iter	Passed	Remaining
361	11074	80701
362	11108	80700
363	11135	80641
364	11174	80674
365	11200	80610
366	11226	80541
367	11257	80516
368	11282	80442
369	11306	80367
370	11332	80306
371	11368	80311
372	11401	80299
373	11436	80300
374	11467	80270
375	11500	80258
376	11528	80208
377	11564	80214
378	11594	80184
379	11634	80219
380	11663	80176
381	11708	80239
382	11736	80194
383	11765	80154
384	11795	80119
385	11825	80083
386	11861	80090
387	11889	80038
388	11916	79986
389	11944	79934
390	11974	79901
391	12002	79854
392	12028	79792
393	12055	79736
394	12080	79671
395	12105	79602
396	12138	79590
397	12164	79527
398	12189	79459
399	12214	79394
400	12242	79348
401	12266	79274
402	12289	79197
403	12313	79124
404	12338	79055
405	12363	78989
406	12386	78913
407	12410	78845
408	12439	78801
409	12465	78747
410	12490	78679
411	12514	78612
412	12549	78610
413	12576	78556
414	12609	78546
415	12635	78488
416	12664	78447
417	12691	78396
418	12723	78377
419	12750	78323
420	12780	78291
421	12804	78225
422	12827	78146
423	12850	78071
424	12873	77995
425	12895	77920
426	12919	77850
427	12958	77870
428	12981	77797
429	13005	77728
430	13029	77665
431	13053	77596
432	13077	77527
433	13100	77453
434	13123	77381
435	13145	77307
436	13169	77236
437	13193	77170
438	13216	77098
439	13239	77027
440	13263	76966
441	13290	76917
442	13318	76874
443	13345	76826
444	13371	76773
445	13398	76727
446	13433	76722
447	13458	76663
448	13497	76684
449	13537	76712
450	13570	76697
451	13601	76671
452	13644	76716
453	13674	76686
454	13706	76668
455	13741	76663
456	13774	76649
457	13806	76627
458	13834	76588
459	13864	76555
460	13893	76518
461	13917	76454
462	13955	76468
463	13979	76405
464	14003	76341
465	14035	76322
466	14067	76302
467	14091	76239
468	14115	76177
469	14140	76117
470	14163	76052
471	14188	75991
472	14211	75927
473	14242	75901
474	14266	75838
475	14291	75778
476	14317	75731
477	14343	75677
478	14368	75624
479	14400	75604
480	14425	75547
481	14448	75480
482	14472	75419
483	14495	75354
484	14518	75288
485	14542	75225
486	14564	75154
487	14586	75085
488	14609	75020
489	14636	74977
490	14660	74916
491	14683	74848
492	14706	74784
493	14729	74719
494	14753	74661
495	14777	74601
496	14800	74537
497	14843	74575
498	14867	74516
499	14889	74448
500	14913	74387
501	14937	74328
502	14960	74266
503	14982	74200
504	15007	74145
505	15030	74084
506	15065	74081
507	15097	74060
508	15126	74027
509	15166	74048
510	15199	74032
511	15244	74078
512	15275	74054
513	15303	74015
514	15328	73963
515	15352	73907
516	15376	73849
517	15399	73788
518	15425	73736
519	15449	73684
520	15475	73635
521	15503	73597
522	15532	73562
523	15563	73538
524	15593	73514
525	15636	73544
526	15664	73505
527	15691	73465
528	15722	73441
529	15754	73420
530	15789	73418
531	15824	73409
532	15856	73391
533	15900	73427
534	15941	73451
535	15967	73401
536	16007	73419
537	16036	73384
538	16064	73346
539	16093	73314
540	16126	73299
541	16150	73245
542	16177	73200
543	16200	73141
544	16223	73082
545	16246	73021
546	16271	72968
547	16296	72919
548	16322	72870
549	16360	72876
550	16384	72823
551	16409	72770
552	16434	72721
553	16458	72666
554	16482	72612
555	16506	72558
556	16530	72502
557	16555	72450
558	16579	72396
559	16602	72341
560	16626	72283
561	16648	72223
562	16674	72176
563	16702	72139
564	16729	72101
565	16759	72070
566	16786	72030
567	16813	71989
568	16839	71943
569	16859	71874
570	16885	71831
571	16908	71773
572	16932	71719
573	16956	71668
574	16991	71659
575	17030	71671
576	17054	71616
577	17078	71562
578	17101	71508
579	17124	71451
580	17149	71403
581	17175	71356
582	17198	71301
583	17217	71228
584	17248	71204
585	17308	71303
586	17354	71340
587	17388	71328
588	17416	71291
589	17442	71246
590	17471	71217
591	17498	71177
592	17524	71133
593	17554	71103
594	17581	71064
595	17620	71074
596	17652	71055
597	17679	71015
598	17705	70968
599	17731	70926
600	17756	70879
601	17781	70831
602	17810	70797
603	17836	70755
604	17860	70704
605	17890	70676
606	17919	70646
607	17948	70613
608	17981	70596
609	18025	70624
610	18057	70604
611	18122	70713
612	18186	70815
613	18241	70885
614	18284	70908
615	18343	70990
616	18387	71015
617	18416	70985
618	18445	70951
619	18474	70916
620	18504	70889
621	18549	70916
622	18593	70941
623	18652	71023
624	18682	70992
625	18708	70949
626	18739	70924
627	18772	70905
628	18816	70927
629	18847	70901
630	18874	70860
631	18902	70823
632	18930	70787
633	18956	70741
634	18981	70695
635	19001	70626
636	19026	70580
637	19051	70531
638	19076	70484
639	19117	70494
640	19141	70444
641	19169	70409
642	19244	70542
643	19270	70497
644	19307	70493
645	19331	70444
646	19367	70436
647	19392	70387
648	19415	70333
649	19442	70290
650	19466	70240
651	19498	70216
652	19530	70197
653	19561	70168
654	19591	70140
655	19623	70117
656	19652	70084
657	19688	70075
658	19718	70046
659	19745	70007
660	19768	69952
661	19794	69907
662	19825	69882
663	19850	69837
664	19878	69797
665	19907	69767
666	19933	69723
667	19960	69682
668	19985	69635
669	20011	69593
670	20036	69544
671	20061	69497
672	20086	69452
673	20122	69442
674	20155	69423
675	20204	69459
676	20235	69434
677	20274	69435
678	20305	69410
679	20346	69417
680	20371	69372
681	20394	69318
682	20419	69269
683	20444	69225
684	20467	69170
685	20491	69119
686	20514	69069
687	20537	69014
688	20566	68982
689	20614	69012
690	20638	68964
691	20663	68919
692	20687	68868
693	20711	68820
694	20738	68781
695	20770	68757
696	20809	68757
697	20835	68714
698	20863	68680
699	20900	68673
700	20932	68649
701	20990	68711
702	21028	68709
703	21074	68732
704	21109	68717
705	21145	68708
706	21177	68683
707	21211	68666
708	21252	68674
709	21280	68637
710	21310	68607
711	21342	68582
712	21375	68563
713	21408	68541
714	21455	68567
715	21505	68601
716	21541	68590
717	21578	68583
718	21607	68547
719	21642	68534
720	21665	68483
721	21689	68431
722	21723	68414
723	21758	68401
724	21789	68375
725	21819	68344
726	21847	68307
727	21877	68278
728	21907	68247
729	21937	68215
730	21971	68197
731	22005	68179
732	22038	68161
733	22086	68185
734	22112	68143
735	22150	68136
736	22179	68102
737	22207	68066
738	22239	68043
739	22271	68019
740	22316	68032
741	22361	68048
742	22416	68094
743	22452	68081
744	22485	68059
745	22522	68049
746	22553	68022
747	22601	68046
748	22632	68018
749	22660	67981
750	22688	67943
751	22728	67942
752	22757	67908
753	22790	67886
754	22813	67836
755	22841	67800
756	22868	67759
757	22896	67723
758	22926	67693
759	22953	67651
760	22984	67624
761	23011	67585
762	23037	67542
763	23060	67492
764	23094	67471
765	23122	67434
766	23154	67410
767	23184	67380
768	23212	67343
769	23245	67320
770	23274	67288
771	23300	67244
772	23330	67216
773	23360	67184
774	23384	67135
775	23413	67103
776	23458	67113
777	23481	67064
778	23513	67038
779	23551	67031
780	23573	66977
781	23604	66951
782	23640	66937
783	23679	66930
784	23711	66905
785	23740	66872
786	23773	66848
787	23802	66816
788	23827	66770
789	23862	66754
790	23898	66740
791	23926	66705
792	23955	66669
793	23996	66669
794	24026	66638
795	24055	66605
796	24090	66587
797	24119	66555
798	24157	66547
799	24187	66516
800	24216	66482
801	24247	66453
802	24277	66422
803	24307	66391
804	24336	66358
805	24366	66326
806	24403	66315
807	24434	66286
808	24462	66250
809	24504	66254
810	24531	66213
811	24556	66170
812	24582	66127
813	24609	66089
814	24648	66081
815	24668	66023
816	24709	66023
817	24750	66020
818	24779	65987
819	24804	65942
820	24831	65904
821	24847	65836
822	24871	65790
823	24896	65747
824	24922	65705
825	24943	65649
826	24970	65612
827	24990	65555
828	25014	65508
829	25039	65463
830	25065	65422
831	25090	65379
832	25113	65330
833	25146	65309
834	25173	65269
835	25200	65230
836	25226	65190
837	25250	65146
838	25281	65117
839	25308	65080
840	25334	65038
841	25359	64996
842	25386	64957
843	25424	64946
844	25449	64903
845	25487	64894
846	25512	64851
847	25538	64809
848	25562	64764
849	25586	64719
850	25610	64673
851	25636	64632
852	25669	64610
853	25695	64569
854	25720	64526
855	25744	64482
856	25774	64451
857	25799	64408
858	25825	64367
859	25852	64331
860	25876	64285
861	25899	64238
862	25928	64204
863	25955	64167
864	25985	64138
865	26024	64129
866	26059	64112
867	26091	64085
868	26127	64071
869	26156	64039
870	26188	64012
871	26219	63986
872	26248	63952
873	26270	63902
874	26293	63856
875	26320	63818
876	26344	63774
877	26373	63741
878	26403	63711
879	26431	63675
880	26456	63633
881	26477	63582
882	26507	63551
883	26536	63520
884	26561	63476
885	26589	63441
886	26619	63413
887	26655	63397
888	26701	63404
889	26734	63382
890	26768	63360
891	26804	63345
892	26836	63319
893	26863	63283
894	26892	63249
895	26924	63223
896	26956	63199
897	26980	63155
898	27007	63116
899	27032	63076
900	27056	63032
901	27080	62988
902	27106	62947
903	27128	62900
904	27148	62846
905	27172	62801
906	27193	62751
907	27217	62708
908	27245	62672
909	27272	62636
910	27304	62612
911	27332	62576
912	27359	62539
913	27386	62502
914	27409	62458
915	27436	62422
916	27466	62391
917	27496	62361
918	27525	62328
919	27555	62300
920	27582	62263
921	27611	62231
922	27640	62199
923	27665	62157
924	27718	62179
925	27745	62142
926	27775	62111
927	27808	62088
928	27837	62058
929	27879	62055
